dataset,band,relative_power_pct
HBN,delta,74.62895854212996
HBN,theta,11.10366486044615
HBN,alpha,6.978145457204677
HBN,beta,6.3634516456225665
HBN,gamma,0.9257794945965981
MODMA,delta,30.760816784017344
MODMA,theta,10.596523809966634
MODMA,alpha,40.81967263913867
MODMA,beta,14.254813396691551
MODMA,gamma,3.568173370185813
PRED_CT,delta,34.831837498329875
PRED_CT,theta,16.246024765895083
PRED_CT,alpha,26.656903313323188
PRED_CT,beta,18.514956054030584
PRED_CT,gamma,3.750278368421294
TDBRAIN,delta,28.145683555241206
TDBRAIN,theta,17.77880644168733
TDBRAIN,alpha,42.499596194032
TDBRAIN,beta,10.50807088524187
TDBRAIN,gamma,1.0678429237975968
