channel,HBN,MODMA,PRED_CT,TDBRAIN
Fp1,True,True,True,True
Fpz,True,True,True,False
Fp2,True,True,True,True
AF3,True,True,True,False
AF4,True,True,True,False
F7,True,True,True,True
F5,True,True,True,False
F3,True,True,True,True
F1,True,True,True,False
Fz,True,True,True,True
F2,True,True,True,False
F4,True,True,True,True
F6,True,True,True,False
F8,True,True,True,True
FT7,True,True,True,False
FC5,True,True,True,False
FC3,True,True,True,True
FC1,True,True,True,False
FCz,True,True,True,True
FC2,True,True,True,False
FC4,True,True,True,True
FC6,True,True,True,False
FT8,True,True,True,False
T7,True,True,True,True
C5,True,True,True,False
C3,True,True,True,True
C1,True,True,True,False
Cz,True,True,True,True
C2,True,True,True,False
C4,True,True,True,True
C6,True,True,True,False
T8,True,True,True,True
M1,True,True,True,False
TP7,True,True,True,False
CP5,True,True,True,False
CP3,True,True,True,True
CP1,True,True,True,False
CPz,True,True,True,True
CP2,True,True,True,False
CP4,True,True,True,True
CP6,True,True,True,False
TP8,True,True,True,False
M2,True,True,True,False
P7,True,True,True,True
P5,True,True,True,False
P3,True,True,True,True
P1,True,True,True,False
Pz,True,True,True,True
P2,True,True,True,False
P4,True,True,True,True
P6,True,True,True,False
P8,True,True,True,True
PO7,True,True,True,False
PO5,True,True,True,False
PO3,True,True,True,False
POz,True,True,True,False
PO4,True,True,True,False
PO6,True,True,True,False
PO8,True,True,True,False
CB1,True,True,True,False
O1,True,True,True,True
Oz,True,True,True,True
O2,True,True,True,True
CB2,True,True,True,False
