dataset,band,relative_power_pct
HBN,delta,79.33085769499266
HBN,theta,12.367182855212796
HBN,alpha,5.5463207232863505
HBN,beta,2.3010219211079606
HBN,gamma,0.4546168054002388
MODMA,delta,19.977511175741434
MODMA,theta,6.680163519682326
MODMA,alpha,62.09520078108029
MODMA,beta,8.853885148716618
MODMA,gamma,2.393239374779344
PRED+CT,delta,34.83183749832988
PRED+CT,theta,16.246024765895083
PRED+CT,alpha,26.656903313323188
PRED+CT,beta,18.514956054030584
PRED+CT,gamma,3.7502783684212946
TDBRAIN,delta,30.797532658036484
TDBRAIN,theta,8.568479556875909
TDBRAIN,alpha,47.68611398513149
TDBRAIN,beta,11.1601280831661
TDBRAIN,gamma,1.787745716790023
